산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",2.334844478002729,2.8033587388183223,0.46851426081559344,0.43069765775610414,0.03781660305948931
비금속광물제품,0.9271009816899083,1.4429895109912332,0.5158885293013249,0.19642276236194586,0.319465766939379
1차 금속제품,0.7649546995404457,1.311817585772679,0.5468628862322333,0.2519459035547469,0.29491698267748645
"수도, 폐기물처리 및 재활용서비스",0.46801036399372525,0.6949121909101857,0.2269018269164605,0.08378537998812283,0.14311644692833767
운송서비스,0.5173707102903866,0.6948315963623836,0.17746088607199695,0.06924619038326578,0.10821469568873117
화학제품,0.3023198637460351,0.6397102117584571,0.337390348012422,0.15450507115461304,0.18288527685780898
광산품,0.2531266300749276,0.6271717643877616,0.374045134312834,0.18784680406383186,0.18619833024900212
농림수산품,0.39315490156641947,0.6064145121114437,0.21325961054502424,0.08579378698028559,0.12746582356473865
석탄 및 석유제품,0.3835238073035355,0.5709951539817059,0.18747134667817034,0.12591894028635736,0.061552406391812975
금속가공제품,0.004102790015844239,0.44924180247269785,0.4451390124568536,0.14377363808432939,0.3013653743725242
기타 제조업 제품,0.15284209540916235,0.3993004719755741,0.24645837656641176,0.07811302022549912,0.16834535634091263
"목재 및 종이, 인쇄",0.05139495017976506,0.3736312190819921,0.322236268902227,0.17866734825959082,0.14356892064263618
음식료품,0.013901331443964438,0.30802196452054176,0.2941206330765773,0.09221838745875238,0.20190224561782494
건설,0.0070708517773726874,0.30349641918116843,0.2964255674037957,0.06752468110238877,0.22890088630140695
운송장비,0.009046149790003432,0.302698128689121,0.29365197889911754,0.09771756953197969,0.19593440936713785
기계 및 장비,0.03439956211830765,0.28273499049238965,0.248335428374082,0.08189440264654714,0.16644102572753489
섬유 및 가죽제품,0.06373519743280837,0.2791587748838053,0.21542357745099694,0.09632686466855568,0.11909671278244126
전기장비,0.0010885943281296149,0.27647635872920523,0.2753877644010756,0.08929877544748487,0.18608898895359072
음식점 및 숙박서비스,0.012923739966447089,0.21608395783314102,0.20316021786669394,0.0624993541191419,0.14066086374755205
"컴퓨터, 전자 및 광학기기",0.02651565165784608,0.19198290460427178,0.1654672529464257,0.09273503759737578,0.07273221534904992
제조임가공 및 산업용 장비 수리,0.023792944126410958,0.17906115998928862,0.15526821586287767,0.05839128346872984,0.09687693239414782
기타 서비스,0.006096541043434181,0.16537958409802736,0.15928304305459318,0.06207771950235077,0.0972053235522424
보건 및 사회복지 서비스,0.008876587563761315,0.13567316280056219,0.12679657523680088,0.04622151618021374,0.08057505905658714
도소매 및 상품중개서비스,0.004683724445417983,0.13558873845722774,0.13090501401180976,0.04699510398490107,0.0839099100269087
"전문, 과학 및 기술 서비스",0.005982694854481414,0.12992399553128803,0.12394130067680661,0.06686710498284985,0.05707419569395676
"예술, 스포츠 및 여가 관련 서비스",0.007531410555085605,0.12871207323737763,0.12118066268229202,0.062321602184323165,0.05885906049796886
교육서비스,0.015841408060273822,0.12428489864219497,0.10844349058192115,0.06462473412006765,0.0438187564618535
"공공행정, 국방 및 사회보장",0.03284399689962983,0.10569959120220317,0.07285559430257334,0.026757043497252924,0.04609855080532041
사업지원서비스,0.0011311681738190367,0.08662877245762696,0.08549760428380793,0.028611230640207222,0.056886373643600704
정보통신 및 방송 서비스,0.00048418486732494756,0.06467903493689807,0.06419485006957312,0.031210209109402448,0.032984640960170675
부동산서비스,0.0008994384793871067,0.05258959857219409,0.05169016009280698,0.025361276134870707,0.026328883957936276
금융 및 보험 서비스,0.0006363639934418103,0.042823577614410385,0.042187213620968576,0.022764678978910248,0.01942253464205833
